hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
,54,Mắm Cá Lóc Ngon,Nước chấm,63,mắm cá lóc,mam ca loc,,,0.0,21.0,1.0,10,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=m%E1%BA%AFm+c%C3%A1+l%C3%B3c&hl=vi-VN
65,55,Thịt nạc,Thịt,60,thịt nạc,thit nac,0.18,0.142857,3.0,21.0,4.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+n%E1%BA%A1c&hl=vi-VN
36,56,Bắp cải,Rau củ quả,59,bắp cải,bap cai,0.73,0.571429,12.0,21.0,16.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%E1%BA%AFp+c%E1%BA%A3i&hl=vi-VN
12,57,Chanh,Rau củ quả,58,chanh,chanh,4.88,3.809524,80.0,21.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=chanh&hl=vi-VN
20,58,Bánh tráng,Ngũ cốc,58,bánh tráng,banh trang,1.85,1.440678,85.0,59.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+tr%C3%A1ng&hl=vi-VN
85,59,Củ Kiệu,Rau củ quả,57,củ kiệu,cu kieu,0.11,0.084746,5.0,59.0,35.0,52,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+ki%E1%BB%87u&hl=vi-VN
92,60,Rau Om,Rau củ quả,56,rau om,rau om,0.04,0.033898,2.0,59.0,3.0,52,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+om&hl=vi-VN
,61,Bánh mì baguette,Ngũ cốc,53,bánh mì baguette,banh mi baguette,,,0.0,59.0,1.0,12,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+m%C3%AC+baguette&hl=vi-VN
78,62,Nấm kim châm,Nấm,51,nấm kim châm,nam kim cham,0.13,0.102564,8.0,78.0,12.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+kim+ch%C3%A2m&hl=vi-VN
28,63,Mì,Ngũ cốc,50,mì ăn,mi an,1.25,0.974359,76.0,78.0,92.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C3%AC+%C4%83n&hl=vi-VN
