hot_rank,original_rank,ingredient,group,recipe_count,keyword,keyword_ascii,google_trends_hot_score,relative_to_anchor,trends_batch_avg_interest,anchor_batch_avg_interest,trends_max_interest,nonzero_points,data_points,status,trends_url
53,28,Thịt ba chỉ,Thịt,108,thịt ba chỉ,thit ba chi,2.11,0.210526,8.0,38.0,10.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+ba+ch%E1%BB%89&hl=vi-VN
91,29,Bì,Thịt,104,bì heo,bi heo,0.26,0.026316,1.0,38.0,1.0,44,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%AC+heo&hl=vi-VN
6,30,Mực,Hải sản,104,mực,muc,42.5,4.25,68.0,16.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%E1%BB%B1c&hl=vi-VN
84,31,Giò sống,Thịt,100,giò sống,gio song,0.62,0.0625,1.0,16.0,2.0,46,53,ok,https://trends.google.com/trends/explore?geo=VN&q=gi%C3%B2+s%E1%BB%91ng&hl=vi-VN
38,32,Đậu phộng,Ngũ cốc,98,đậu phộng,dau phong,4.38,0.4375,7.0,16.0,8.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%E1%BA%ADu+ph%E1%BB%99ng&hl=vi-VN
3,33,Bún,Ngũ cốc,96,bún,bun,51.88,5.1875,83.0,16.0,97.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%BAn&hl=vi-VN
60,34,Rau răm,Rau củ quả,90,rau răm,rau ram,1.74,0.173913,4.0,23.0,5.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+r%C4%83m&hl=vi-VN
52,35,Nấm rơm,Nấm,90,nấm rơm,nam rom,2.17,0.217391,5.0,23.0,6.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+r%C6%A1m&hl=vi-VN
8,36,Chuối,Trái cây,82,chuối,chuoi,37.83,3.782609,87.0,23.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=chu%E1%BB%91i&hl=vi-VN
26,37,Nước tương,Nước chấm,82,nước tương,nuoc tuong,7.83,0.782609,18.0,23.0,27.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+t%C6%B0%C6%A1ng&hl=vi-VN
4,38,Dừa,Trái cây,71,dừa,dua,47.65,4.764706,81.0,17.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BB%ABa&hl=vi-VN
47,39,Giá đỗ,Rau củ quả,67,giá đỗ,gia do,2.94,0.294118,5.0,17.0,7.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=gi%C3%A1+%C4%91%E1%BB%97&hl=vi-VN
87,40,Nấm Đông Cô,Nấm,66,nấm đông cô,nam dong co,0.59,0.058824,1.0,17.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+%C4%91%C3%B4ng+c%C3%B4&hl=vi-VN
71,41,Nấm mèo,Nấm,65,nấm mèo,nam meo,1.18,0.117647,2.0,17.0,3.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+m%C3%A8o&hl=vi-VN
68,42,Rau thơm,Rau củ quả,65,rau thơm,rau thom,1.28,0.128205,10.0,78.0,12.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+th%C6%A1m&hl=vi-VN
93,43,Mắm Cá Lóc Ngon,Nước chấm,63,mắm cá lóc,mam ca loc,0.13,0.012821,1.0,78.0,3.0,34,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%E1%BA%AFm+c%C3%A1+l%C3%B3c&hl=vi-VN
67,44,Thịt nạc,Thịt,60,thịt nạc,thit nac,1.41,0.141026,11.0,78.0,15.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+n%E1%BA%A1c&hl=vi-VN
36,45,Bắp cải,Rau củ quả,59,bắp cải,bap cai,5.38,0.538462,42.0,78.0,60.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%E1%BA%AFp+c%E1%BA%A3i&hl=vi-VN
7,46,Chanh,Rau củ quả,58,chanh,chanh,38.1,3.809524,80.0,21.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=chanh&hl=vi-VN
14,47,Bánh tráng,Ngũ cốc,58,bánh tráng,banh trang,14.76,1.47619,31.0,21.0,36.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+tr%C3%A1ng&hl=vi-VN
77,48,Củ Kiệu,Rau củ quả,57,củ kiệu,cu kieu,0.95,0.095238,2.0,21.0,13.0,49,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+ki%E1%BB%87u&hl=vi-VN
88,49,Rau Om,Rau củ quả,56,rau om,rau om,0.48,0.047619,1.0,21.0,1.0,41,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+om&hl=vi-VN
,50,Bánh mì baguette,Ngũ cốc,53,bánh mì baguette,banh mi baguette,,,0.0,78.0,2.0,12,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+m%C3%AC+baguette&hl=vi-VN
76,51,Nấm kim châm,Nấm,51,nấm kim châm,nam kim cham,1.03,0.102564,8.0,78.0,12.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+kim+ch%C3%A2m&hl=vi-VN
21,52,Mì,Ngũ cốc,50,mì ăn,mi an,9.74,0.974359,76.0,78.0,93.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C3%AC+%C4%83n&hl=vi-VN
55,53,Nấm hương,Nấm,50,nấm hương,nam huong,1.92,0.192308,15.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+h%C6%B0%C6%A1ng&hl=vi-VN
73,54,Bánh phở,Ngũ cốc,49,bánh phở,banh pho,1.15,0.115385,9.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+ph%E1%BB%9F&hl=vi-VN
32,55,Củ Cải,Rau củ quả,44,củ cải,cu cai,6.28,0.628205,49.0,78.0,83.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+c%E1%BA%A3i&hl=vi-VN
19,56,Cá Hồi,Hải sản,44,cá hồi,ca hoi,10.64,1.064103,83.0,78.0,93.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A1+h%E1%BB%93i&hl=vi-VN
37,57,Rau muống,Rau củ quả,44,rau muống,rau muong,5.26,0.525641,41.0,78.0,58.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+mu%E1%BB%91ng&hl=vi-VN
66,58,Sườn Non,Thịt,44,sườn non,suon non,1.47,0.147059,5.0,34.0,8.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=s%C6%B0%E1%BB%9Dn+non&hl=vi-VN
,59,Tàu hũ ky,Đậu & sản phẩm từ đậu,43,tàu hũ ky,tau hu ky,,,0.0,34.0,1.0,9,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=t%C3%A0u+h%C5%A9+ky&hl=vi-VN
10,60,Nước Dùng,Thực phẩm chế biến sẵn,42,nước dùng,nuoc dung,19.12,1.911765,65.0,34.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+d%C3%B9ng&hl=vi-VN
89,61,Dầu Oliu,Dầu ăn,40,dầu ô liu,dau o liu,0.29,0.029412,1.0,34.0,3.0,52,53,ok,https://trends.google.com/trends/explore?geo=VN&q=d%E1%BA%A7u+%C3%B4+liu&hl=vi-VN
50,62,Sa Tế,Nước chấm,39,sa tế,sa te,2.42,0.242424,16.0,66.0,27.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=sa+t%E1%BA%BF&hl=vi-VN
35,63,Hẹ,Rau củ quả,38,hẹ,he,5.45,0.545455,36.0,66.0,48.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%E1%BA%B9&hl=vi-VN
46,64,Trứng cút,Trứng,37,trứng cút,trung cut,3.03,0.30303,20.0,66.0,30.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=tr%E1%BB%A9ng+c%C3%BAt&hl=vi-VN
16,65,Phô mai,Sản phẩm từ sữa,37,phô mai,pho mai,12.88,1.287879,85.0,66.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=ph%C3%B4+mai&hl=vi-VN
58,66,Nấm Linh Chi,Nấm,37,nấm linh chi,nam linh chi,1.79,0.179487,14.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+linh+chi&hl=vi-VN
56,67,Nước cốt dừa,Sản phẩm từ sữa,36,nước cốt dừa,nuoc cot dua,1.92,0.192308,15.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+c%E1%BB%91t+d%E1%BB%ABa&hl=vi-VN
,68,Nước Cốt Me,Trái cây,35,nước cốt me,nuoc cot me,,,0.0,78.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=n%C6%B0%E1%BB%9Bc+c%E1%BB%91t+me&hl=vi-VN
69,69,Củ Sắn,Rau củ quả,35,củ sắn,cu san,1.28,0.128205,10.0,78.0,15.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+s%E1%BA%AFn&hl=vi-VN
,70,Hành tím,Rau củ quả,34,hành tím,hanh tim,,,0.0,3.0,1.0,5,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=h%C3%A0nh+t%C3%ADm&hl=vi-VN
5,71,Táo,Trái cây,33,táo,tao,46.67,4.666667,14.0,3.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%A1o&hl=vi-VN
,72,Tôm Đất,Hải sản,33,tôm đất,tom dat,,,0.0,3.0,0.0,0,53,no_data,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m+%C4%91%E1%BA%A5t&hl=vi-VN
31,73,Bí đỏ,Rau củ quả,32,bí đỏ,bi do,6.67,0.666667,2.0,3.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%AD+%C4%91%E1%BB%8F&hl=vi-VN
79,74,Rau Mầm,Rau củ quả,31,rau mầm,rau mam,0.9,0.089744,7.0,78.0,12.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+m%E1%BA%A7m&hl=vi-VN
61,75,Tôm khô,Hải sản,31,tôm khô,tom kho,1.67,0.166667,13.0,78.0,23.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m+kh%C3%B4&hl=vi-VN
80,76,Khế chua,Rau củ quả,31,khế chua,khe chua,0.9,0.089744,7.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=kh%E1%BA%BF+chua&hl=vi-VN
59,77,Cải thảo,Rau củ quả,31,cải thảo,cai thao,1.79,0.179487,14.0,78.0,20.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BA%A3i+th%E1%BA%A3o&hl=vi-VN
34,78,Hạt Sen,Rau củ quả,31,hạt sen,hat sen,5.51,0.551282,43.0,78.0,78.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=h%E1%BA%A1t+sen&hl=vi-VN
63,79,Rau sống,Rau củ quả,29,rau sống,rau song,1.54,0.153846,12.0,78.0,18.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=rau+s%E1%BB%91ng&hl=vi-VN
62,80,Củ Sen,Rau củ quả,29,củ sen,cu sen,1.67,0.166667,13.0,78.0,22.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+sen&hl=vi-VN
33,81,Lá lốt,Rau củ quả,28,lá lốt,la lot,5.77,0.576923,45.0,78.0,58.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=l%C3%A1+l%E1%BB%91t&hl=vi-VN
57,82,Măng Tây,Rau củ quả,27,măng tây,mang tay,1.88,0.1875,3.0,16.0,4.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=m%C4%83ng+t%C3%A2y&hl=vi-VN
85,83,Bí ngòi,Rau củ quả,27,bí ngòi,bi ngoi,0.62,0.0625,1.0,16.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%AD+ng%C3%B2i&hl=vi-VN
2,84,Tôm,Hải sản,27,tôm,tom,53.12,5.3125,85.0,16.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=t%C3%B4m&hl=vi-VN
86,85,Nấm bào ngư,Nấm,26,nấm bào ngư,nam bao ngu,0.62,0.0625,1.0,16.0,2.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=n%E1%BA%A5m+b%C3%A0o+ng%C6%B0&hl=vi-VN
92,86,Đậu Cove,Rau củ quả,26,đậu cô ve,dau co ve,0.14,0.013514,1.0,74.0,3.0,41,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%E1%BA%ADu+c%C3%B4+ve&hl=vi-VN
82,87,Bánh mì sandwich,Ngũ cốc,25,bánh mì sandwich,banh mi sandwich,0.68,0.067568,5.0,74.0,8.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=b%C3%A1nh+m%C3%AC+sandwich&hl=vi-VN
25,88,Cá lóc,Hải sản,25,cá lóc,ca loc,7.97,0.797297,59.0,74.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A1+l%C3%B3c&hl=vi-VN
65,89,Cá Thác Lác,Hải sản,25,cá thác lác,ca thac lac,1.49,0.148649,11.0,74.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A1+th%C3%A1c+l%C3%A1c&hl=vi-VN
64,90,Đậu Hà Lan,Rau củ quả,24,đậu hà lan,dau ha lan,1.52,0.151899,12.0,79.0,23.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=%C4%91%E1%BA%ADu+h%C3%A0+lan&hl=vi-VN
54,91,Lá Dứa,Rau củ quả,24,lá dứa,la dua,2.03,0.202532,16.0,79.0,22.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=l%C3%A1+d%E1%BB%A9a&hl=vi-VN
43,92,Cà tím,Rau củ quả,24,cà tím,ca tim,3.16,0.316456,25.0,79.0,35.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%C3%A0+t%C3%ADm&hl=vi-VN
41,93,Khoai môn,Rau củ quả,24,khoai môn,khoai mon,3.29,0.329114,26.0,79.0,36.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=khoai+m%C3%B4n&hl=vi-VN
17,94,Khoai lang,Rau củ quả,24,khoai lang,khoai lang,12.26,1.225806,38.0,31.0,48.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=khoai+lang&hl=vi-VN
51,95,Thịt Xay,Thịt,24,thịt xay,thit xay,2.26,0.225806,7.0,31.0,9.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+xay&hl=vi-VN
9,96,Xoài,Trái cây,23,xoài,xoai,20.65,2.064516,64.0,31.0,100.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=xo%C3%A0i&hl=vi-VN
83,97,Thịt Ếch,Hải sản,23,thịt ếch,thit ech,0.65,0.064516,2.0,31.0,3.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=th%E1%BB%8Bt+%E1%BA%BFch&hl=vi-VN
70,98,Củ Năng,Rau củ quả,23,củ năng,cu nang,1.28,0.128205,10.0,78.0,14.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=c%E1%BB%A7+n%C4%83ng&hl=vi-VN
24,99,Miến,Ngũ cốc,23,miến,mien,8.33,0.833333,65.0,78.0,98.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=mi%E1%BA%BFn&hl=vi-VN
27,100,Xúc Xích,Thịt,22,xúc xích,xuc xich,7.18,0.717949,56.0,78.0,79.0,53,53,ok,https://trends.google.com/trends/explore?geo=VN&q=x%C3%BAc+x%C3%ADch&hl=vi-VN
